Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Animal Source]	Characteristics[Genotype]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Characteristics[Age at Launch]	Unit	Term Source REF	Term Accession Number	Characteristics[Sex]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[habitat]	Parameter Value[duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[light cycle]	Parameter Value[Enrichment material]	Term Source REF	Term Accession Number	Parameter Value[diet]	Parameter Value[Feeding Schedule]	Protocol REF	Parameter Value[Euthanasia Method]	Parameter Value[Age at Euthanasia]	Unit	Term Source REF	Term Accession Number	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Body Weight upon Euthanasia]	Unit	Term Source REF	Term Accession Number	Comment[Euthanasia Date]	Comment[Source Description]	Comment[ALSDA Subject ID]	Comment[RFID (last 4 digit)]
RR-23_V1	RR23_R-EDL_VIV_V1_techrep1	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Right extensor digitorum longus	FMA	http://purl.org/sig/ont/fma/fma22548	Vivarium Control	OSD	https://osdr.nasa.gov/	16-17	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Animal Husbandry	Vivarium Cage	38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light: 12 h dark. Lights on at 7:00 GMT	Igloo	DCM	http://dicom.nema.org/resources/ontology/DCM/127220	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture, Inhalation of Isoflurane	22-23	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	33.4	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	17-Jan-2021	Live animal return	766	0777
RR-23_V1	RR23_R-EDL_VIV_V1_techrep2	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Right extensor digitorum longus	FMA	http://purl.org/sig/ont/fma/fma22548	Vivarium Control	OSD	https://osdr.nasa.gov/	16-17	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Animal Husbandry	Vivarium Cage	38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light: 12 h dark. Lights on at 7:00 GMT	Igloo	DCM	http://dicom.nema.org/resources/ontology/DCM/127220	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture, Inhalation of Isoflurane	22-23	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	30	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	17-Jan-2021	Live animal return	766	5F3A
RR-23_V2	RR23_R-EDL_VIV_V2	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Right extensor digitorum longus	FMA	http://purl.org/sig/ont/fma/fma22548	Vivarium Control	OSD	https://osdr.nasa.gov/	16-17	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Animal Husbandry	Vivarium Cage	38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light: 12 h dark. Lights on at 7:00 GMT	Igloo	DCM	http://dicom.nema.org/resources/ontology/DCM/127220	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture, Inhalation of Isoflurane	22-23	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	37.1	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	20-Jan-2021	Live animal return	767	0162
RR-23_V3	RR23_R-EDL_VIV_V3	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Right extensor digitorum longus	FMA	http://purl.org/sig/ont/fma/fma22548	Vivarium Control	OSD	https://osdr.nasa.gov/	16-17	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Animal Husbandry	Vivarium Cage	38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light: 12 h dark. Lights on at 7:00 GMT	Igloo	DCM	http://dicom.nema.org/resources/ontology/DCM/127220	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture, Inhalation of Isoflurane	22-23	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	37.1	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	20-Jan-2021	Live animal return	767	0162
RR-23_V4	RR23_R-EDL_VIV_V4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Right extensor digitorum longus	FMA	http://purl.org/sig/ont/fma/fma22548	Vivarium Control	OSD	https://osdr.nasa.gov/	16-17	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Animal Husbandry	Vivarium Cage	38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light: 12 h dark. Lights on at 7:00 GMT	Igloo	DCM	http://dicom.nema.org/resources/ontology/DCM/127220	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture, Inhalation of Isoflurane	22-23	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	37.1	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	20-Jan-2021	Live animal return	767	0162
RR-23_V5	RR23_R-EDL_VIV_V5	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Right extensor digitorum longus	FMA	http://purl.org/sig/ont/fma/fma22548	Vivarium Control	OSD	https://osdr.nasa.gov/	16-17	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Animal Husbandry	Vivarium Cage	38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light: 12 h dark. Lights on at 7:00 GMT	Igloo	DCM	http://dicom.nema.org/resources/ontology/DCM/127220	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture, Inhalation of Isoflurane	22-23	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	41.8	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	20-Jan-2021	Live animal return	767	2D69
RR-23_V6	RR23_R-EDL_VIV_V6	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Right extensor digitorum longus	FMA	http://purl.org/sig/ont/fma/fma22548	Vivarium Control	OSD	https://osdr.nasa.gov/	16-17	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Animal Husbandry	Vivarium Cage	38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light: 12 h dark. Lights on at 7:00 GMT	Igloo	DCM	http://dicom.nema.org/resources/ontology/DCM/127220	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture, Inhalation of Isoflurane	22-23	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	35.7	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	20-Jan-2021	Live animal return	767	635B
RR-23_V7	RR23_R-EDL_VIV_V7	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Right extensor digitorum longus	FMA	http://purl.org/sig/ont/fma/fma22548	Vivarium Control	OSD	https://osdr.nasa.gov/	16-17	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Animal Husbandry	Vivarium Cage	38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light: 12 h dark. Lights on at 7:00 GMT	Igloo	DCM	http://dicom.nema.org/resources/ontology/DCM/127220	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture, Inhalation of Isoflurane	22-23	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	41.6	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	20-Jan-2021	Live animal return	767	055E
RR-23_V8	RR23_R-EDL_VIV_V8	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Right extensor digitorum longus	FMA	http://purl.org/sig/ont/fma/fma22548	Vivarium Control	OSD	https://osdr.nasa.gov/	16-17	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Animal Husbandry	Vivarium Cage	38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light: 12 h dark. Lights on at 7:00 GMT	Igloo	DCM	http://dicom.nema.org/resources/ontology/DCM/127220	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture, Inhalation of Isoflurane	22-23	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	39.2	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	20-Jan-2021	Live animal return	767	2741
RR-23_V9	RR23_R-EDL_VIV_V9	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Right extensor digitorum longus	FMA	http://purl.org/sig/ont/fma/fma22548	Vivarium Control	OSD	https://osdr.nasa.gov/	16-17	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Animal Husbandry	Vivarium Cage	38	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12 h light: 12 h dark. Lights on at 7:00 GMT	Igloo	DCM	http://dicom.nema.org/resources/ontology/DCM/127220	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture, Inhalation of Isoflurane	22-23	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	37.1	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	20-Jan-2021	Live animal return	767	210E
